Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,1,5,1,4,5,5,1,7,7,7,7,7,7,7,7,6,6,6,6,2,7,6,7,2,5,2,2,6,4,2,3,4,2,7,7,7,6,7,7,6,6,1,2,1,6,2,7,6,6,7,7,7,7,7,7,2,4,4,5,6,4,5,5,6
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,4,2,4,1,5,1,3,1,7,6,6,6,6,7,7,7,3,7,3,5,4,4,3,6,5,6,5,6,6,5,5,7,6,7,7,7,7,7,6,7,6,4,4,2,6,6,6,6,4,6,5,6,5,7,6,6,4,4,6,5,5,5,6,5,5
1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,5,1,5,2,5,1,5,2,5,1,6,6,6,7,7,7,6,6,6,6,6,7,5,7,5,6,4,5,5,4,6,5,5,7,6,7,7,7,7,7,6,7,5,5,5,6,7,6,6,7,7,7,7,7,6,6,7,7,6,7,7,7,6,5,6,7,6
0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,4,1,5,2,4,1,4,1,4,1,7,7,7,7,7,7,7,7,2,6,4,3,2,6,5,5,3,3,3,3,3,2,5,3,3,4,4,4,6,3,6,6,5,6,6,4,4,6,4,5,4,4,4,6,6,6,7,7,4,1,4,1,2,1,4,1,6
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,5,2,5,1,4,3,3,1,7,5,7,5,6,7,7,6,1,2,4,5,1,4,6,6,1,4,2,4,6,1,2,7,7,7,7,6,6,5,4,7,4,6,5,4,4,3,7,6,2,5,4,6,5,7,6,6,7,1,5,1,1,1,1,1,4
1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,1,3,4,5,1,4,2,4,2,7,7,6,7,7,6,7,7,6,6,4,6,5,4,6,5,4,4,4,4,4,4,5,6,5,5,5,5,6,4,5,5,3,6,5,3,5,4,6,7,7,4,5,7,6,5,7,7,2,2,5,2,2,2,4,4,4
1,0,1,0,1,0,0,1,1,0,1,2,1,0,1,0,3,2,4,1,4,1,4,4,3,1,5,4,5,5,5,5,6,5,1,5,6,1,1,2,6,5,2,2,2,3,3,4,2,6,5,5,5,6,6,6,2,5,3,3,2,3,3,6,5,6,5,6,6,5,3,5,6,6,3,4,3,5,2,4,5,2,3
2,0,1,0,2,0,1,1,0,1,1,1,0,0,1,0,1,1,5,1,5,1,5,1,3,1,7,4,4,6,7,7,7,7,4,4,7,7,2,7,7,6,1,7,1,1,4,1,1,6,6,4,6,6,6,7,7,6,4,6,4,4,7,6,6,7,6,7,7,7,7,7,7,6,4,2,7,4,3,2,4,3,7
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,1,1,3,4,1,5,1,5,1,5,4,3,4,3,4,5,4,1,4,1,5,3,4,4,4,2,4,1,1,4,1,1,6,4,4,3,4,3,3,4,7,7,4,6,1,6,5,4,6,5,4,5,7,5,7,5,5,4,2,4,2,2,2,4,2,6
3,0,0,1,2,0,0,3,1,1,0,3,2,3,3,0,1,2,3,3,3,1,1,3,3,1,6,6,6,6,5,7,7,6,5,5,5,5,5,5,5,6,5,4,4,4,4,5,4,6,6,6,4,5,5,4,2,6,7,6,4,4,5,7,5,7,5,6,7,7,6,5,7,7,4,5,5,6,6,6,6,4,5
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,5,1,5,1,4,4,5,1,7,7,7,7,7,7,7,7,3,1,5,6,3,4,5,2,1,5,3,1,7,3,7,7,7,6,6,6,6,5,6,7,6,3,3,4,7,6,4,7,4,4,4,7,4,6,7,7,1,1,4,1,1,3,1,3,5
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,1,4,1,3,1,5,1,5,4,5,4,4,4,5,5,4,5,4,5,3,4,5,4,5,5,4,5,4,3,6,6,2,2,4,5,5,5,6,6,7,3,7,4,2,6,6,5,2,5,2,6,4,5,6,6,4,4,5,5,4,5,5,4,5
